release_id,release_title,artist_id,label_id,release_date,release_country,release_type
1,Release 0001,1,2,2009-06-25,United Kingdom,Single
2,Release 0002,1,2,2014-10-04,Japan,Album
3,Release 0003,1,6,2011-05-05,United States,Album
4,Release 0004,2,9,2004-03-15,Australia,Single
5,Release 0005,2,1,2014-11-17,Nigeria,EP
6,Release 0006,2,3,2004-11-04,France,Album
7,Release 0007,3,10,2023-05-10,Germany,EP
8,Release 0008,4,5,2023-11-21,Japan,Single
9,Release 0009,4,7,2024-01-03,France,Album
10,Release 0010,4,3,2022-06-25,Nigeria,Single
11,Release 0011,5,7,2023-08-18,Japan,Album
12,Release 0012,5,3,2013-02-23,Japan,Album
13,Release 0013,6,7,2013-09-05,Canada,Album
14,Release 0014,6,1,2004-06-26,Norway,Album
15,Release 0015,6,2,2016-04-22,Norway,EP
16,Release 0016,7,4,2014-12-05,Canada,Album
17,Release 0017,7,3,2023-07-01,Australia,Single
18,Release 0018,7,4,2020-07-26,France,Album
19,Release 0019,7,7,2020-12-04,United Kingdom,Single
20,Release 0020,8,5,2001-08-12,Germany,Album
21,Release 0021,8,7,1995-11-07,Norway,Single
22,Release 0022,9,9,2022-06-21,Sweden,EP
23,Release 0023,10,3,2009-02-09,South Korea,Single
24,Release 0024,10,7,2010-02-20,Norway,EP
25,Release 0025,10,9,2019-07-20,United States,Single
26,Release 0026,11,7,2011-01-23,United Kingdom,EP
27,Release 0027,11,4,2020-11-24,Norway,Single
28,Release 0028,12,10,2025-11-11,Norway,EP
29,Release 0029,13,5,2025-05-17,Nigeria,Single
30,Release 0030,14,9,2007-12-10,Canada,Album
31,Release 0031,14,3,2008-11-13,South Korea,EP
32,Release 0032,14,1,2004-07-18,France,Single
33,Release 0033,15,6,2008-10-20,Brazil,Single
34,Release 0034,15,9,2009-11-07,Brazil,EP
35,Release 0035,16,9,2016-02-10,Nigeria,EP
36,Release 0036,16,4,2014-06-03,Nigeria,Single
37,Release 0037,17,1,2025-04-05,United Kingdom,Album
38,Release 0038,17,2,2020-10-28,Brazil,Single
39,Release 0039,18,4,2024-08-13,Canada,EP
40,Release 0040,18,7,2021-02-25,Germany,Album
41,Release 0041,19,2,1996-09-08,Brazil,Album
42,Release 0042,19,9,2020-08-22,Japan,EP
43,Release 0043,19,9,2005-08-20,Sweden,EP
44,Release 0044,19,8,2009-03-24,Brazil,Single
45,Release 0045,20,4,2018-09-16,France,Single
46,Release 0046,20,4,2012-12-10,France,Single
47,Release 0047,21,3,2022-02-05,Germany,Single
48,Release 0048,21,4,2025-03-23,United States,Single
49,Release 0049,21,8,2020-06-18,Sweden,Album
50,Release 0050,22,10,2021-07-13,Australia,Album
51,Release 0051,22,8,2022-10-13,United Kingdom,Single
52,Release 0052,23,7,2019-07-28,Japan,EP
53,Release 0053,23,10,2018-09-26,Germany,Single
54,Release 0054,23,8,2002-05-14,United Kingdom,Single
55,Release 0055,24,7,2016-11-26,Australia,Album
56,Release 0056,24,10,2021-08-05,Japan,Album
57,Release 0057,24,10,2024-07-19,Nigeria,Album
