track_id,platform,listen_month,stream_count,skip_rate,playlist_adds
1,Spotify,2025-07-01,270332,0.24,9849
1,Apple Music,2023-03-01,244514,0.233,1648
1,YouTube Music,2025-10-01,67857,0.547,3230
2,Spotify,2024-02-01,239116,0.541,4857
2,Apple Music,2024-11-01,174111,0.303,5164
2,YouTube Music,2023-12-01,82540,0.129,3835
3,Spotify,2024-05-01,208140,0.168,2125
3,Apple Music,2023-06-01,61434,0.39,629
3,YouTube Music,2024-03-01,132056,0.234,9671
4,Spotify,2024-04-01,31094,0.277,1888
4,Apple Music,2025-08-01,54837,0.226,3638
4,YouTube Music,2025-12-01,58747,0.521,2882
5,Spotify,2024-02-01,232313,0.175,18429
5,Apple Music,2025-08-01,146745,0.196,4353
5,YouTube Music,2025-08-01,156649,0.098,1853
6,Spotify,2025-03-01,133839,0.414,3654
6,Apple Music,2024-07-01,124537,0.503,7471
6,YouTube Music,2023-04-01,189227,0.347,6531
7,Spotify,2023-12-01,48483,0.375,1303
7,Apple Music,2025-02-01,282642,0.182,11874
7,YouTube Music,2024-07-01,98627,0.129,6163
8,Spotify,2023-02-01,128050,0.177,1068
8,Apple Music,2025-07-01,245248,0.432,8237
8,YouTube Music,2023-06-01,64100,0.085,871
9,Spotify,2025-11-01,264151,0.308,2672
9,Apple Music,2024-03-01,94343,0.286,3802
9,YouTube Music,2023-09-01,70708,0.365,1293
10,Spotify,2025-05-01,201589,0.116,12552
10,Apple Music,2025-09-01,43361,0.164,2540
10,YouTube Music,2025-11-01,60895,0.102,3203
11,Spotify,2024-08-01,214214,0.502,7346
11,Apple Music,2023-04-01,16503,0.103,549
11,YouTube Music,2023-01-01,132790,0.174,823
12,Spotify,2023-11-01,114851,0.4,1118
12,Apple Music,2024-06-01,54942,0.101,2386
12,YouTube Music,2024-07-01,173869,0.374,13053
13,Spotify,2023-07-01,30220,0.13,884
13,Apple Music,2023-11-01,170176,0.263,6706
13,YouTube Music,2023-07-01,87456,0.253,878
14,Spotify,2025-09-01,100268,0.315,7949
14,Apple Music,2025-12-01,135172,0.531,6757
14,YouTube Music,2024-03-01,123521,0.537,7044
15,Spotify,2025-08-01,209991,0.403,16453
15,Apple Music,2024-09-01,18217,0.366,890
15,YouTube Music,2023-04-01,209706,0.317,12130
16,Spotify,2025-07-01,7089,0.501,199
16,Apple Music,2024-05-01,188285,0.117,2883
16,YouTube Music,2025-10-01,47629,0.176,373
17,Spotify,2025-01-01,145271,0.234,3756
17,Apple Music,2023-04-01,174739,0.275,11524
17,YouTube Music,2025-04-01,192379,0.194,8743
18,Spotify,2025-06-01,220030,0.185,15501
18,Apple Music,2023-04-01,51795,0.083,3638
18,YouTube Music,2023-03-01,16716,0.147,339
19,Spotify,2025-02-01,176007,0.454,3577
19,Apple Music,2023-07-01,138610,0.226,8195
19,YouTube Music,2025-04-01,54395,0.222,2623
20,Spotify,2024-07-01,94548,0.306,7216
20,Apple Music,2025-07-01,89630,0.287,3844
20,YouTube Music,2024-07-01,178539,0.528,7346
21,Spotify,2023-09-01,28016,0.513,1390
21,Apple Music,2024-07-01,172922,0.259,4831
21,YouTube Music,2024-04-01,172054,0.114,2623
22,Spotify,2025-12-01,55417,0.082,3858
22,Apple Music,2025-06-01,107964,0.515,8153
22,YouTube Music,2024-01-01,110656,0.381,5435
23,Spotify,2024-05-01,34154,0.346,668
23,Apple Music,2025-06-01,243611,0.32,10145
23,YouTube Music,2023-04-01,152795,0.261,5623
24,Spotify,2025-01-01,103188,0.462,5398
24,Apple Music,2025-03-01,219895,0.15,11084
24,YouTube Music,2023-01-01,63697,0.352,3483
25,Spotify,2024-12-01,39266,0.383,2896
25,Apple Music,2024-03-01,213429,0.118,15632
25,YouTube Music,2025-07-01,106974,0.222,8298
26,Spotify,2025-02-01,151792,0.273,10736
26,Apple Music,2023-05-01,34440,0.445,1061
26,YouTube Music,2023-03-01,182157,0.432,10460
27,Spotify,2025-07-01,103644,0.113,5930
27,Apple Music,2023-12-01,167432,0.283,3052
27,YouTube Music,2024-10-01,32814,0.166,2498
28,Spotify,2023-05-01,51241,0.108,958
28,Apple Music,2025-03-01,114599,0.509,1511
28,YouTube Music,2024-01-01,20904,0.258,538
29,Spotify,2023-01-01,173898,0.308,10788
29,Apple Music,2023-02-01,105467,0.083,5134
29,YouTube Music,2024-08-01,74593,0.083,3746
