track_id,release_id,track_title,track_number,duration_seconds
1,1,Track 00001,1,283
2,1,Track 00002,2,270
3,1,Track 00003,3,166
4,1,Track 00004,4,316
5,1,Track 00005,5,153
6,1,Track 00006,6,230
7,1,Track 00007,7,248
8,1,Track 00008,8,353
9,1,Track 00009,9,342
10,2,Track 00010,1,332
11,2,Track 00011,2,151
12,2,Track 00012,3,252
13,2,Track 00013,4,159
14,2,Track 00014,5,197
15,2,Track 00015,6,162
16,2,Track 00016,7,161
17,2,Track 00017,8,202
18,3,Track 00018,1,208
19,3,Track 00019,2,360
20,3,Track 00020,3,252
21,3,Track 00021,4,349
22,3,Track 00022,5,192
23,3,Track 00023,6,336
24,3,Track 00024,7,140
25,3,Track 00025,8,184
26,3,Track 00026,9,170
27,3,Track 00027,10,282
28,3,Track 00028,11,261
29,4,Track 00029,1,152
30,4,Track 00030,2,280
31,4,Track 00031,3,197
32,4,Track 00032,4,277
33,4,Track 00033,5,256
34,5,Track 00034,1,248
35,5,Track 00035,2,284
36,6,Track 00036,1,271
37,6,Track 00037,2,268
38,6,Track 00038,3,159
39,6,Track 00039,4,163
40,6,Track 00040,5,288
41,6,Track 00041,6,279
42,6,Track 00042,7,304
43,6,Track 00043,8,350
44,6,Track 00044,9,274
45,6,Track 00045,10,206
46,7,Track 00046,1,130
47,7,Track 00047,2,331
48,7,Track 00048,3,341
49,7,Track 00049,4,127
50,7,Track 00050,5,140
51,7,Track 00051,6,131
52,7,Track 00052,7,284
53,7,Track 00053,8,317
54,7,Track 00054,9,267
55,7,Track 00055,10,187
56,8,Track 00056,1,173
57,8,Track 00057,2,316
58,8,Track 00058,3,266
59,8,Track 00059,4,226
60,8,Track 00060,5,278
61,8,Track 00061,6,283
62,8,Track 00062,7,127
63,8,Track 00063,8,247
64,8,Track 00064,9,347
65,8,Track 00065,10,280
66,8,Track 00066,11,259
67,9,Track 00067,1,284
68,9,Track 00068,2,197
69,9,Track 00069,3,243
70,9,Track 00070,4,182
71,9,Track 00071,5,326
72,9,Track 00072,6,326
73,9,Track 00073,7,295
74,9,Track 00074,8,223
75,9,Track 00075,9,196
76,9,Track 00076,10,236
77,9,Track 00077,11,138
78,9,Track 00078,12,296
79,10,Track 00079,1,160
80,11,Track 00080,1,226
81,11,Track 00081,2,243
82,11,Track 00082,3,238
83,11,Track 00083,4,172
84,11,Track 00084,5,207
85,11,Track 00085,6,275
86,11,Track 00086,7,156
87,11,Track 00087,8,200
88,11,Track 00088,9,340
89,11,Track 00089,10,303
90,11,Track 00090,11,201
91,11,Track 00091,12,307
92,11,Track 00092,13,340
93,11,Track 00093,14,208
94,11,Track 00094,15,222
95,12,Track 00095,1,314
96,12,Track 00096,2,214
97,12,Track 00097,3,251
98,12,Track 00098,4,263
99,12,Track 00099,5,147
100,12,Track 00100,6,201
101,12,Track 00101,7,181
102,12,Track 00102,8,239
103,12,Track 00103,9,151
104,12,Track 00104,10,188
105,13,Track 00105,1,183
106,13,Track 00106,2,156
107,13,Track 00107,3,144
108,13,Track 00108,4,132
109,13,Track 00109,5,194
110,13,Track 00110,6,218
111,13,Track 00111,7,341
112,13,Track 00112,8,277
113,13,Track 00113,9,227
114,13,Track 00114,10,183
115,13,Track 00115,11,341
